Current app: me.lqjgames.holybibleNIVEnglish	non-overlapping apis #: 142	 all apis #: 142
Current app: com.diaryforgirlswithlock	non-overlapping apis #: 260	 all apis #: 260
Current app: com.sailgrib	non-overlapping apis #: 5927	 all apis #: 38688
Current app: com.simplemobile.simplemobilewifi2	non-overlapping apis #: 1929	 all apis #: 1930
Current app: com.paleodiet.paleodietrecipes	non-overlapping apis #: 426	 all apis #: 426
Current app: aplicacion.tiempo	non-overlapping apis #: 658	 all apis #: 682
Current app: com.listia.Listia	non-overlapping apis #: 145	 all apis #: 145
Current app: foodquiz.guessthefood	non-overlapping apis #: 298	 all apis #: 298
Current app: com.ml.TXSC	non-overlapping apis #: 885	 all apis #: 1366
Current app: com.tappsi.passenger.android	non-overlapping apis #: 676	 all apis #: 684
Current app: com.forp	non-overlapping apis #: 395	 all apis #: 395
Current app: com.puritansoft.biblereadingplan	non-overlapping apis #: 6600	 all apis #: 13165
Current app: com.minecraft.topmaps	non-overlapping apis #: 150	 all apis #: 150
Current app: com.nyctrans.it	non-overlapping apis #: 1211	 all apis #: 1230
Current app: com.healthnet.hncom	non-overlapping apis #: 326	 all apis #: 329
Current app: com.daily.calling	non-overlapping apis #: 29	 all apis #: 29
Current app: de.rapidmode.bcare	non-overlapping apis #: 896	 all apis #: 896
Current app: com.joelapenna.foursquared	non-overlapping apis #: 195	 all apis #: 195
Current app: hr.apps.n206861515	non-overlapping apis #: 573	 all apis #: 573
Current app: com.ketchapp.fitinthehole	non-overlapping apis #: 75	 all apis #: 75
Current app: com.mfoundry.mb.android.mb_136	non-overlapping apis #: 64	 all apis #: 1728
Current app: com.thy.mobile	non-overlapping apis #: 97	 all apis #: 97
Current app: pink.girl.flowers.cartoon	non-overlapping apis #: 51	 all apis #: 51
Current app: com.skgames.trafficracer	non-overlapping apis #: 13	 all apis #: 13
Current app: org.xssembler.chordsplus	non-overlapping apis #: 236	 all apis #: 363
Current app: com.SkyDivers.asteroids3d	non-overlapping apis #: 388	 all apis #: 397
Current app: ip.camera.iris	non-overlapping apis #: 127	 all apis #: 127
Current app: com.sevenbrachot.app	non-overlapping apis #: 91	 all apis #: 91
Current app: com.oxagile.speedtrackerfree	non-overlapping apis #: 685	 all apis #: 690
Current app: com.mfoundry.mb.android.mb_cen	non-overlapping apis #: 64	 all apis #: 1439
Current app: com.cootek.smartinputv5	non-overlapping apis #: 9	 all apis #: 41
Current app: com.djstudio.professionalplayer	non-overlapping apis #: 63	 all apis #: 63
Current app: polis.app.callrecorder	non-overlapping apis #: 169	 all apis #: 176
Current app: com.kkkeyboard.emoji.keyboard.theme.ToxicSkull	non-overlapping apis #: 40	 all apis #: 40
Current app: pl.agora.mojedziecko	non-overlapping apis #: 374	 all apis #: 374
Current app: com.messages.newyear	non-overlapping apis #: 140	 all apis #: 140
Current app: com.fxo.pol	non-overlapping apis #: 11	 all apis #: 11
Current app: com.selfiecamera.snapchatfilters	non-overlapping apis #: 2040	 all apis #: 2040
Current app: com.mobidia.android.mdm	non-overlapping apis #: 23698	 all apis #: 28045
Current app: com.advanced.rootchecker	non-overlapping apis #: 179	 all apis #: 179
Current app: org.tragetuch.app.carryme	non-overlapping apis #: 677	 all apis #: 677
Current app: syria.ringwe.com	non-overlapping apis #: 175	 all apis #: 175
